Time_Second,Machine_Type,Air_temperature,Process_temperature,Rotational_speed,Torque,Tool_wear,Machine_failure
0,H (High),298.02483570765054,309.49308678494145,1501.2953770762015,40.761514928204015,9.953169325055333,0
1,H (High),298.00329315215254,309.5689606407754,1500.7348694583059,39.81526280703252,10.308512008717193,0
2,H (High),298.0068291153593,309.4567135123215,1498.8839245431323,39.143359877671095,10.055016433497393,0
3,H (High),298.0168856235379,309.4193584439833,1498.2284946651907,39.695987962239386,10.31753925973294,0
4,H (High),298.13328243844603,309.4487111849757,1496.935056409376,39.48762590689326,10.69112345509496,0
5,H (High),298.0805461294854,309.39245032112893,1496.7513960366916,39.94968065504058,10.94166125004134,0
6,H (High),298.05991466938843,309.5326139092255,1495.1730055505243,39.77114453552203,11.364508982420634,0
7,H (High),298.04395781750134,309.4404431797503,1490.4806597522409,39.685906975550765,11.43937224717382,0
8,H (High),298.15692332899965,309.42856841405955,1493.3687034352238,40.24944815220533,11.304295601926508,0
9,H (High),298.0990077895801,309.3869680614521,1494.9142444524382,40.62180914478421,11.447391968927446,0
10,H (High),298.1662041984696,309.38074588597925,1490.6461559993886,40.805838144420406,12.206199904499183,0
11,H (High),298.21156400595567,309.348039123839,1490.5815752482981,40.715631715701754,12.395109025424464,0
12,H (High),298.1560412881076,309.37071705116693,1488.1873300519885,40.00189668795963,12.56250516447883,0
13,H (High),298.26281200142836,309.3663994939211,1491.6070657957846,40.83081801252378,12.470976049078965,0
14,H (High),298.22806978027523,309.4369018283234,1488.7283479217808,41.482321827906965,12.276050979182042,0
15,H (High),298.26609512521856,309.354352353412,1487.4019852990689,40.79588038826771,12.60248621707981,0
16,H (High),298.2290164056079,309.35785562857575,1490.1557880894838,40.54086489086313,13.03830127942135,0
17,H (High),298.2299121478205,309.37577010588524,1487.0575022193202,40.58511989811643,13.502653486622659,0
18,H (High),298.27485387746714,309.3684322495268,1484.1958938122461,40.73616892670106,13.521578369373556,0
19,H (High),298.21182425259315,309.3248060138534,1485.3221105443606,40.95255672832118,13.753082573324956,0
20,H (High),298.2292314628972,309.2789677338619,1483.3145709669473,40.59886136538913,13.967742857666783,0
21,H (High),298.3352025428404,309.38430929506075,1483.5491556256645,41.178775195361325,14.185110816846752,0
22,H (High),298.2340614392347,309.27867430622774,1482.520460419883,42.33162105624258,14.36152780704376,0
23,H (High),298.3600773671164,309.26826441151496,1479.262643924762,41.72141140725744,14.750386606537338,0
24,H (High),298.39955159735183,309.2145306272605,1483.6055886218733,40.499074468603794,14.917371418760037,0
